Marca de Tiempo,Uso de Memoria (%)
10:21:15,63.3
10:21:16,64.3
10:21:17,64.6
10:21:18,64.6
10:21:19,64.5
10:21:20,64.5
10:21:21,66.1
10:21:22,67.4
10:21:23,67.9
10:21:24,68.3
10:21:25,68.0
10:21:26,68.6
10:21:27,69.4
10:21:28,70.0
10:21:29,70.9
10:21:30,71.9
10:21:31,72.1
10:21:32,71.9
10:21:33,71.7
10:21:34,71.6
10:21:35,71.4
10:21:36,71.2
10:21:37,71.1
10:21:38,71.2
10:21:39,70.8
10:21:40,70.8
10:21:41,70.6
10:21:42,70.1
10:21:43,70.1
10:21:44,70.0
10:21:45,69.9
10:21:46,69.9
10:21:47,69.8
10:21:48,70.5
10:21:49,70.7
10:21:50,71.3
10:21:51,71.6
10:21:52,71.9
10:21:53,72.5
10:21:54,73.0
10:21:55,73.4
10:21:56,74.0
10:21:57,74.2
10:21:58,73.9
10:21:59,73.8
10:22:00,73.8
10:22:01,73.8
10:22:02,74.0
10:22:03,75.1
10:22:04,75.6
10:22:05,74.8
10:22:06,74.8
10:22:07,75.2
10:22:08,75.2
10:22:09,75.6
10:22:10,75.7
10:22:11,75.5
10:22:12,75.6
10:22:13,75.8
10:22:14,75.0
10:22:15,75.0
10:22:16,74.9
10:22:17,74.8
10:22:18,74.8
10:22:19,74.9
10:22:20,74.8
10:22:21,74.5
10:22:22,73.9
10:22:23,73.2
10:22:24,73.2
10:22:25,73.4
10:22:26,73.3
10:22:27,73.3
10:22:28,73.2
10:22:29,73.0
10:22:30,73.0
10:22:31,72.9
10:22:32,72.9
10:22:33,72.9
10:22:34,72.9
10:22:35,73.3
10:22:36,73.0
10:22:37,73.1
10:22:38,73.1
10:22:39,73.1
10:22:40,73.1
10:22:41,73.0
10:22:42,72.9
10:22:43,72.8
10:22:44,72.7
10:22:45,72.6
10:22:46,72.8
10:22:47,72.7
10:22:48,72.7
10:22:49,72.7
10:22:50,72.7
10:22:51,72.8
10:22:52,72.8
10:22:53,72.6
10:22:54,72.4
10:22:55,72.2
10:22:56,72.2
10:22:57,72.1
10:22:58,72.1
10:22:59,72.0
10:23:00,72.0
10:23:01,72.0
10:23:02,72.0
10:23:03,71.8
10:23:04,71.8
10:23:05,71.7
10:23:06,71.7
10:23:07,71.7
10:23:08,71.7
10:23:09,71.8
10:23:10,71.7
10:23:11,71.7
10:23:12,71.6
10:23:13,71.5
10:23:14,71.3
10:23:15,71.3
10:23:16,71.4
10:23:17,71.6
10:23:18,71.6
10:23:19,71.6
10:23:20,71.7
10:23:21,72.5
10:23:22,72.5
10:23:23,72.4
10:23:24,72.5
10:23:25,72.4
10:23:26,72.5
10:23:27,72.1
10:23:28,72.0
10:23:29,71.8
10:23:30,71.6
10:23:31,71.6
10:23:32,71.6
10:23:33,71.5
10:23:34,71.4
10:23:35,71.5
10:23:36,71.8
10:23:37,71.9
10:23:38,72.2
10:23:39,72.4
10:23:40,72.6
10:23:41,71.6
10:23:42,71.7
10:23:43,71.9
10:23:44,71.8
10:23:45,71.6
10:23:46,71.7
10:23:47,71.9
10:23:48,71.6
10:23:49,71.6
10:23:50,71.6
10:23:51,72.2
10:23:52,72.2
10:23:53,73.9
10:23:54,74.1
10:23:55,74.1
10:23:56,74.1
10:23:57,73.8
10:23:58,74.5
10:23:59,72.9
10:24:00,73.5
10:24:01,73.5
10:24:02,73.5
10:24:03,73.5
10:24:04,73.6
10:24:05,73.6
10:24:06,73.6
10:24:07,73.6
10:24:08,73.8
10:24:09,73.8
10:24:10,73.8
10:24:11,73.8
10:24:12,73.8
10:24:13,74.0
10:24:14,73.9
10:24:15,73.8
10:24:16,73.9
10:24:17,74.0
10:24:18,74.1
10:24:19,74.6
10:24:20,75.0
10:24:21,75.2
10:24:22,75.6
10:24:23,76.1
10:24:24,75.8
10:24:25,75.9
10:24:26,76.0
10:24:27,75.9
10:24:28,76.1
10:24:29,75.8
10:24:30,75.6
